Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,weight,weight_Symptom_2,weight_Symptom_3,weight_Symptom_4,weight_Symptom_5,weight_Symptom_6,weight_Symptom_7,weight_Symptom_8,weight_Symptom_9,weight_Symptom_10,weight_Symptom_11,weight_Symptom_12,weight_Symptom_13,weight_Symptom_14,weight_Symptom_15,weight_Symptom_16,weight_Symptom_17,Total_Severity,Disease_Encoded
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,4.0,5.0,4.0,7,4,4,4,4,2,6,6,7,7,5,2,79.0,17
gerd,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,4.0,5.0,4.0,7.0,5,4,4,4,4,2,6,6,7,7,5,2,81.0,17
gerd,stomach_pain,acidity,vomiting,cough,chest_pain,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,5.0,4.0,7.0,5,4,4,4,4,2,6,6,7,7,5,2,80.0,17
gerd,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,4.0,4.0,7.0,5,4,4,4,4,2,6,6,7,7,5,2,79.0,17
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,4.0,5.0,7.0,5,4,4,4,4,2,6,6,7,7,5,2,80.0,17
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,4.0,5.0,4.0,5,4,4,4,4,2,6,6,7,7,5,2,77.0,17
gerd,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,4.0,5.0,4.0,7.0,5,4,4,4,4,2,6,6,7,7,5,2,79.0,17
chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,5.0,3.0,5.0,4.0,4,4,4,4,4,2,6,6,7,7,5,2,73.0,9
chronic cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,5.0,4.0,4.0,4,4,4,4,4,2,6,6,7,7,5,2,76.0,9
chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,5.0,4.0,4.0,4,4,4,4,4,2,6,6,7,7,5,2,72.0,9
chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,5.0,5.0,4.0,4.0,4,4,4,4,4,2,6,6,7,7,5,2,74.0,9
chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,5.0,3.0,4.0,4.0,4,4,4,4,4,2,6,6,7,7,5,2,72.0,9
chronic cholestasis,itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,5.0,3.0,5.0,4.0,4,4,4,4,4,2,6,6,7,7,5,2,73.0,9
chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,5.0,3.0,5.0,4.0,4,4,4,4,4,2,6,6,7,7,5,2,73.0,9
chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,5.0,3.0,5.0,4.0,4,4,4,4,4,2,6,6,7,7,5,2,73.0,9
drug reaction,itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,5.0,6.0,,5,4,4,4,4,2,6,6,7,7,5,2,71.0,14
drug reaction,itching,stomach_pain,burning_micturition,spotting_ urination,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,5.0,6.0,,3.0,5,4,4,4,4,2,6,6,7,7,5,2,71.0,14
drug reaction,itching,skin_rash,burning_micturition,spotting_ urination,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,6.0,,3.0,5,4,4,4,4,2,6,6,7,7,5,2,69.0,14
drug reaction,itching,skin_rash,stomach_pain,spotting_ urination,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,5.0,,3.0,5,4,4,4,4,2,6,6,7,7,5,2,68.0,14
drug reaction,itching,skin_rash,stomach_pain,burning_micturition,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,5.0,6.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,74.0,14
drug reaction,skin_rash,stomach_pain,burning_micturition,spotting_ urination,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,6.0,,3.0,5,4,4,4,4,2,6,6,7,7,5,2,73.0,14
peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,4.0,4.0,5.0,4.0,5,4,4,4,4,2,6,6,7,7,5,2,78.0,34
peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,5.0,4.0,5.0,4.0,5,4,4,4,4,2,6,6,7,7,5,2,79.0,34
peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,4.0,4.0,5.0,4.0,5,4,4,4,4,2,6,6,7,7,5,2,78.0,34
peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,5.0,4.0,5.0,4.0,5,4,4,4,4,2,6,6,7,7,5,2,79.0,34
peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,5.0,4.0,4.0,4.0,5,4,4,4,4,2,6,6,7,7,5,2,78.0,34
peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,5.0,4.0,4.0,5.0,5,4,4,4,4,2,6,6,7,7,5,2,79.0,34
peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,5.0,4.0,4.0,5.0,4,4,4,4,4,2,6,6,7,7,5,2,78.0,34
aids,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,6.0,7.0,5.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,80.0,2
aids,patches_in_throat,high_fever,extra_marital_contacts,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,6,7.0,5.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,84.0,2
aids,muscle_wasting,high_fever,extra_marital_contacts,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,7.0,5.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,81.0,2
aids,muscle_wasting,patches_in_throat,extra_marital_contacts,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,6.0,5.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,80.0,2
aids,muscle_wasting,patches_in_throat,high_fever,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,6.0,7.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,82.0,2
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,3.0,5.0,2.0,5.0,5,4,4,5,4,2,6,6,7,7,5,2,76.0,12
diabetes,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,2.0,5.0,5.0,4,4,5,4,4,2,6,6,7,7,5,2,76.0,12
diabetes,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,5.0,2.0,5.0,5.0,4,4,5,4,4,2,6,6,7,7,5,2,77.0,12
diabetes,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,3.0,2.0,5.0,5.0,4,4,5,4,4,2,6,6,7,7,5,2,75.0,12
diabetes,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,3.0,5.0,5.0,5.0,4,4,5,4,4,2,6,6,7,7,5,2,78.0,12
diabetes,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,3.0,5.0,2.0,5.0,4,4,5,4,4,2,6,6,7,7,5,2,75.0,12
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,3.0,5.0,2.0,5.0,4,4,5,4,4,2,6,6,7,7,5,2,75.0,12
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,3.0,5.0,2.0,5.0,5,4,5,4,4,2,6,6,7,7,5,2,76.0,12
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,3.0,5.0,2.0,5.0,5,4,5,4,4,2,6,6,7,7,5,2,76.0,12
gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,4.0,6.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,77.0,16
gastroenteritis,sunken_eyes,dehydration,diarrhoea,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,4.0,6.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,79.0,16
gastroenteritis,vomiting,dehydration,diarrhoea,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,4.0,6.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,81.0,16
gastroenteritis,vomiting,sunken_eyes,diarrhoea,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,6.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,80.0,16
gastroenteritis,vomiting,sunken_eyes,dehydration,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,4.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,78.0,16
bronchial asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,4.0,7.0,4.0,5.0,4,4,4,4,4,2,6,6,7,7,5,2,79.0,6
bronchial asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,7.0,4.0,5.0,4.0,5,4,4,4,4,2,6,6,7,7,5,2,80.0,6
bronchial asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,7.0,4.0,5.0,4.0,5,4,4,4,4,2,6,6,7,7,5,2,80.0,6
bronchial asthma,fatigue,cough,breathlessness,family_history,mucoid_sputum,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,4.0,4.0,5.0,4.0,5,4,4,4,4,2,6,6,7,7,5,2,77.0,6
bronchial asthma,fatigue,cough,high_fever,family_history,mucoid_sputum,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,4.0,7.0,5.0,4.0,5,4,4,4,4,2,6,6,7,7,5,2,80.0,6
bronchial asthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,4.0,7.0,4.0,4.0,5,4,4,4,4,2,6,6,7,7,5,2,79.0,6
bronchial asthma,fatigue,cough,high_fever,breathlessness,family_history,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,4.0,7.0,4.0,5.0,5,4,4,4,4,2,6,6,7,7,5,2,80.0,6
hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,7.0,4.0,4.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,77.0,24
hypertension,chest_pain,dizziness,loss_of_balance,lack_of_concentration,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,7,4.0,4.0,3.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,77.0,24
hypertension,headache,dizziness,loss_of_balance,lack_of_concentration,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,4.0,4.0,3.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,73.0,24
hypertension,headache,chest_pain,loss_of_balance,lack_of_concentration,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,7.0,4.0,3.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,76.0,24
hypertension,headache,chest_pain,dizziness,lack_of_concentration,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,7.0,4.0,3.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,76.0,24
hypertension,headache,chest_pain,dizziness,loss_of_balance,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,7.0,4.0,4.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,77.0,24
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,5.0,4.0,4,3,2,3,4,2,6,6,7,7,5,2,71.0,31
migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,5.0,4.0,4.0,3,2,3,4,4,2,6,6,7,7,5,2,72.0,31
migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,3.0,5.0,4.0,4.0,3,2,3,4,4,2,6,6,7,7,5,2,70.0,31
migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,5.0,4.0,4.0,3,2,3,4,4,2,6,6,7,7,5,2,72.0,31
migraine,acidity,indigestion,headache,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,4.0,4.0,3,2,3,4,4,2,6,6,7,7,5,2,70.0,31
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,5.0,4.0,3,2,3,4,4,2,6,6,7,7,5,2,71.0,31
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,5.0,4.0,3,2,3,4,4,2,6,6,7,7,5,2,71.0,31
